ForbidID,ForbidNo,PlantCode,BU,Customer,ForbidDate
52DB850F-7FF6-4B0A-B244-C744B75EE289,PSG-Forbid-GER-0900,CP11,AIO-HP,AIO/HP,2015/8/4
D5C253A6-2CC2-427C-8C05-C77ADBC414D6,PSG-Forbid-GER-1964,CP60,BU1,BU1-HP,2020/6/26
E18990E2-6E10-4A79-90AE-C77E1FAC953B,PSG-Forbid-GER-0516,CP11,AIO-HP,AIO/HP,2014/8/18
22FFE8F9-7519-450E-A121-C786AEC438D7,PSG-Forbid-GER-1391,CP60,BU1,BU1-HP,2017/10/19
2D0FE0F9-713E-4F86-9B96-C7A896BCA0A8,PSG-Forbid-GER-0475,CP81,BU1,BU1-HP,2014/8/8
275C9083-69F8-4E63-BC7A-C7DC796FDDA8,PSG-Forbid-F-COMPUTR-0015,CP60,BU1,BU1-HP,2018/2/2
5D09884C-AFB6-4F4B-842B-C7E0BDBB360E,PSG-Forbid-GER-1949,CP69,BU2-ACER,BD3C-ACER,2020/6/2
D5A36AB1-51CF-477A-BB19-C7FAEEA4983B,PSG-Forbid-F-TREASUR-0001,CP60,BU1,BU1-HP,2016/5/6
F3B823BF-AF57-4241-B4EF-C83EBD793BF8,PSG-Forbid-GER-1085,CP11,AIOL,AIO/Lenovo,2016/4/14
A9EC4644-0C18-416F-9EC6-C85C12B629AA,PSG-Forbid-GER-0985,CP11,AIOL,AIO/Lenovo,2015/11/16
28ECA704-E86C-4E78-A3E7-C87DB17B0A6D,PSG-Forbid-GER-2575,CP60,BU1,BU1-HP,2023/11/22
81364AFA-4C8F-439E-BCE8-C89A6626BB42,PSG-Forbid-GER-0082,CP81,BU1,BU1-HP,2014/3/13
3210B4A7-15D0-4592-ACCF-C8F490F9AD8A,PSG-Forbid-GER-1074,CP60,BU1,BU1-HP,2016/3/30
048552A2-4354-4E7A-9EEC-C937F3A64FC0,PSG-Forbid-F-OLYMPIA-0005,CP81,BU1,BU1-HP,2015/3/25
1F522468-7145-4D03-96C8-C93824ADA94D,PSG-Forbid-GER-0277,CP60,BU1,BU1-HP,2014/5/30
41F802F7-C447-4D87-9D9C-C944E779F67C,PSG-Forbid-GER-1108,CP60,BU1,BU1-HP,2016/6/7
3766BA5B-72B4-4194-8151-C99997CE587F,PSG-Forbid-GER-0584,CP11,AIO-HP,AIO/HP,2014/9/28
39A00141-2ACA-41A4-93A4-C9D223AF554D,PSG-Forbid-F-CYCLONE-0038,CP60,BU1,BU1-HP,2014/6/11
2D1CE555-5E00-41C4-806A-C9D6070E7BF5,PSG-Forbid-GER-0968,CP60,BU1,BU1-HP,2015/11/12
C1103A90-8D8D-4B9D-B788-CA11FDD106A7,PSG-Forbid-GER-1189,CP60,BU1,BU1-HP,2016/12/4
E14C220D-B7BD-467B-B57D-CA87D7704B3F,PSG-Forbid-GER-0042,CP11,AIOL,AIO/Lenovo,2014/3/5
7C8FCF0E-E413-4354-B5D8-CA8FB8E85406,PSG-Forbid-GER-1040,CP11,AIOL,AIO/Lenovo,2016/1/19
3A5200F9-B0F4-4F2F-9379-CA945E5ACC63,PSG-Forbid-F-BAZOOKA-0005,CP81,BU1,BU1-HP,2015/1/26
1DBF56B5-8318-4135-B9B8-CAA1495AC7F2,PSG-Forbid-GER-0774,CP07,BU2,BD2D TSB,2015/4/10
81D7A636-093F-42AF-A11C-CAB44A1A3F76,PSG-Forbid-GER-2579,CP60,BU1,BU1-HP,2023/11/22
E7818469-430E-4F84-807D-CAB643E0D10F,PSG-Forbid-F-STARFOX-0007,CP60,BU1,BU1-HP,2023/2/2
A3324347-0C62-4D0E-A978-CAC96902F27E,PSG-Forbid-F-WYSE-0006,CP83,BU5A,BD2E-DELL,2014/11/14
F620678F-AD2A-4FDC-91CD-CAD5FAC7ED0A,PSG-Forbid-GER-0906,CP11,AIOL,AIO/Lenovo,2015/8/28
C5178AB3-AFF7-4D80-9DB8-CB0C86261CEB,PSG-Forbid-F-CYCLONE-0020,CP81,BU1,BU1-HP,2014/6/25
E9E4383A-B573-464D-A7B6-CB0F24C60CC4,PSG-Forbid-F-BLURR-0001,CP60,BU1,BU1-HP,2018/9/26
FA4448AB-FA75-4839-8164-CB1025F8A944,PSG-Forbid-GER-0869,CP85,BU2-ASUS,BD2C-ASUS,2015/6/23
B144E2DD-FEB4-43DD-A9BB-CB11933C7066,PSG-Forbid-GER-1604,CP83,DELL,BD3A-DELL,2018/8/17
3AB545BC-46EB-4559-93DB-CB22FEDA077E,PSG-Forbid-F-OLYMPIA-0059,CP60,BU1,BU1-HP,2015/9/15
AC40E7EB-10D7-4439-8421-CB761CB89FBD,PSG-Forbid-GER-1310,CP60,AIO-HP,AIO/HP,2017/6/29
EDCADDE8-A8F6-4A91-BCC9-CB85085222B5,PSG-Forbid-GER-2125,CP60,BU1,BU1-HP,2021/6/16
B83A7BA0-F110-4307-BFCB-CBD9D9388DAB,PSG-Forbid-F-WYSE-0003,CP83,BU5A,BD2E-DELL,2014/5/9
ABB3A74E-B521-46D8-A8F4-CBEDCCB4BBC6,PSG-Forbid-GER-0726,CP11,AIOL,AIO/Lenovo,2015/2/3
BFC5B226-A32F-4B96-93B4-CBEE1AA3B36B,PSG-Forbid-GER-0513,CP11,AIO-HP,AIO/HP,2014/8/18
4A304902-EEBB-4BB6-89EB-CBF8672D8649,PSG-Forbid-GER-0369,CP60,BU1,BU1-HP,2014/6/27
0C9829CE-C13E-49DD-861C-CBFC53070222,PSG-Forbid-GER-1626,CP65,BU2-TINY,BD3B-TINY,2018/9/21
D47187B6-7D12-499B-8AEC-CC17FCB4E0BA,PSG-Forbid-GER-1602,CP60,BU1,BU1-HP,2018/8/13
D3C07444-3AF1-48DD-A8E6-CC3E9AA42E9E,PSG-Forbid-GER-0150,CP11,AIOL,AIO/Lenovo,2014/4/30
ECB0E363-28DC-4636-B1B8-CC50220D02B6,PSG-Forbid-GER-2695,CP60,BU1,BU1-HP,2023/11/23
AC056F55-165B-49ED-9636-CCB603E7EDEE,PSG-Forbid-GER-0913,CP11,AIOL,AIO/Lenovo,2015/9/9
CA2C170C-66B7-40AC-9293-CCB823B45215,PSG-Forbid-GER-1139,CP60,BU1,BU1-HP,2016/8/9
F2787E1E-0FB6-498F-AAD7-CCD43063CF59,PSG-Forbid-GER-0621,CP11,AIOL,AIO/Lenovo,2014/11/7
BCC3B38E-B033-4E62-ACDB-CCE06E7B8A96,PSG-Forbid-GER-0148,CP11,AIOL,AIO/Lenovo,2014/4/30
